Team,Year,Position,Points
Ferrari,1989.0,2.6984126984126986,132.38095238095238
Haas,2018.0,7.8,40.0
McLaren,1992.490909090909,3.963636363636364,100.05454545454545
Mercedes,2015.0,2.0,516.8181818181819
Racing Point,2014.0,6.3076923076923075,100.53846153846153
Red Bull,2014.1666666666667,2.8333333333333335,361.8333333333333
Renault,2000.304347826087,4.739130434782608,77.26086956521739
Sauber,2005.5,6.8076923076923075,33.26923076923077
Williams,1998.111111111111,4.6,79.11111111111111
