,Year,Position,Team,Points
622,2017,9,McLaren,30
623,2017,10,Sauber,5
624,2018,1,Mercedes,655
625,2018,2,Ferrari,571
626,2018,3,Red Bull,419
627,2018,4,Renault,122
628,2018,5,Haas,93
629,2018,6,McLaren,62
630,2018,7,Racing Point,52
631,2018,8,Sauber,48
633,2018,10,Williams,7
634,2019,1,Mercedes,739
635,2019,2,Ferrari,504
636,2019,3,Red Bull,417
637,2019,4,McLaren,145
638,2019,5,Renault,91
640,2019,7,Racing Point,73
642,2019,9,Haas,28
643,2019,10,Williams,1
644,2020,1,Mercedes,573
645,2020,2,Red Bull,319
646,2020,3,McLaren,202
647,2020,4,Racing Point,195
648,2020,5,Renault,181
649,2020,6,Ferrari,131
652,2020,9,Haas,3
653,2020,10,Williams,0
